Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,73,22305,20017,6136,1544,1073,64,1215,5209,112,502
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\,73,22305,20017,6136,1544,1073,64,1215,5209,112,502
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\Scripts SQL,1,1002,654,0,0,141,0,207,503,15,35
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico,72,21303,19363,6136,1544,932,64,1008,4706,97,467
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\img,1,4,4,0,0,0,0,0,0,0,0
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\img\_notes,1,4,4,0,0,0,0,0,0,0,0
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\inc,5,683,573,409,71,70,15,40,281,0,0
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\javascript,7,2686,2071,1686,371,145,3,470,3034,66,398
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\javascript\_notes,1,8,8,0,0,0,0,0,0,0,0
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\sections,34,12021,11672,2870,825,332,32,17,191,0,0
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\sql,3,2079,1366,0,0,296,0,417,840,30,65
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\styles,4,405,325,241,0,30,0,50,298,1,4
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\styles\_notes,1,6,6,0,0,0,0,0,0,0,0
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\sys,10,2766,2723,759,230,40,5,3,22,0,0
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\sys\_notes,1,12,12,0,0,0,0,0,0,0,0
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\sys_images,2,52,52,0,0,0,0,0,0,0,0
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\sys_images\_notes,1,46,46,0,0,0,0,0,0,0,0
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\sys_images\xmenu,1,6,6,0,0,0,0,0,0,0,0
C:\Documents and Settings\181934\Desktop\Sol Patagonico E4Systems\Source Code\\solpatagonico\sys_images\xmenu\_notes,1,6,6,0,0,0,0,0,0,0,0
